YrCaught,YrTagged,Length,Weight,Site,AgeP
8,8,71,4.3,Site 2,0
8,8,72,3.7,Site 2,0
8,8,72,3.8,Site 2,0
8,8,72,3.4,Site 2,0
8,8,73,4.2,Site 2,0
8,8,73,4.2,Site 2,0
8,8,73,4.2,Site 2,0
8,8,73,3.8,Site 2,0
8,8,73,3.9,Site 2,0
8,8,74,4.4,Site 2,0
8,8,74,5.2,Site 2,0
8,8,75,4.9,Site 2,0
8,8,75,4.6,Site 2,0
8,8,76,4.7,Site 2,0
8,8,76,4.4,Site 2,0
8,8,76,4.1,Site 2,0
8,8,78,5.2,Site 2,0
8,8,78,4.6,Site 2,0
8,8,78,5,Site 2,0
8,8,78,5,Site 2,0
8,8,78,4.5,Site 2,0
8,8,80,5.4,Site 2,0
8,8,80,7,Site 2,0
8,8,80,5,Site 2,0
8,8,80,5.7,Site 2,0
8,8,81,5.9,Site 2,0
8,8,81,5.7,Site 2,0
8,8,81,5.4,Site 2,0
8,8,81,6,Site 2,0
8,8,81,6.2,Site 2,0
8,8,82,5.9,Site 2,0
8,8,82,6.1,Site 2,0
8,8,82,5.6,Site 2,0
8,8,82,5.9,Site 2,0
8,8,83,6,Site 2,0
8,8,84,6.2,Site 2,0
8,8,84,5.8,Site 2,0
8,8,85,6.2,Site 2,0
8,8,85,7,Site 2,0
8,8,85,6.1,Site 2,0
8,8,85,6.8,Site 2,0
8,8,85,6.4,Site 2,0
8,8,88,7,Site 2,0
8,8,89,8,Site 2,0
8,8,89,7.4,Site 2,0
8,8,90,8.1,Site 2,0
8,8,91,7.5,Site 2,0
8,8,91,7.7,Site 2,0
8,8,98,9.1,Site 2,0
8,8,110,15.9,Site 2,1
8,8,113,15.7,Site 2,1
8,8,121,19,Site 2,1
8,8,127,21.4,Site 2,1
8,8,128,23.2,Site 2,1
8,8,130,24.7,Site 2,1
8,8,131,22.5,Site 2,1
8,8,138,31.3,Site 2,2
8,8,143,28.3,Site 2,2
8,8,145,27.5,Site 2,2
8,8,147,37.8,Site 2,2
8,8,148,33.5,Site 2,2
8,8,151,37.7,Site 2,2
8,8,152,40.6,Site 2,2
8,8,155,38.3,Site 2,2
8,8,158,40.5,Site 2,2
8,8,163,42.9,Site 2,2
8,8,207,91.7,Site 2,3
8,NA,41,0.8,Site 3,0
8,NA,51,1.6,Site 3,0
8,NA,54,2.1,Site 3,0
8,NA,56,2.3,Site 3,0
8,NA,58,2.1,Site 3,0
8,8,65,3.4,Site 3,0
8,8,66,3.2,Site 3,0
8,8,67,3,Site 3,0
8,8,68,3.7,Site 3,0
8,8,78,5.5,Site 3,0
8,8,80,5.7,Site 3,0
8,8,115,15.9,Site 3,1
8,NA,42,1.1,Site 3,0
8,NA,43,1,Site 3,0
8,NA,44,1.1,Site 3,0
8,NA,44,1,Site 3,0
8,NA,46,1.1,Site 3,0
8,NA,47,1.5,Site 3,0
8,NA,47,1.5,Site 3,0
8,NA,48,1.2,Site 3,0
8,NA,48,1,Site 3,0
8,NA,48,1.4,Site 3,0
8,NA,49,1.4,Site 3,0
8,NA,49,2,Site 3,0
8,NA,50,1.8,Site 3,0
8,NA,50,1.2,Site 3,0
8,NA,51,1.4,Site 3,0
8,NA,51,2,Site 3,0
8,NA,51,1.6,Site 3,0
8,NA,51,1.6,Site 3,0
